Year,State,FIPS,Hesitancy,Hesitancy Level,Hesitancy measles,Hesitancy measles rate
2006.0,California,6025,8.0,0.0030188679245283,60.0,0.0226415094339622
2006.0,California,6027,3.0,0.0170454545454545,4.0,0.0227272727272727
2006.0,California,6029,179.0,0.0132308374602705,647.0,0.0478231946189666
2006.0,California,6031,9.0,0.0039267015706806,47.0,0.0205061082024432
2006.0,California,6033,29.0,0.0415472779369627,54.0,0.0773638968481375
2006.0,California,6035,9.0,0.0287539936102236,36.0,0.1150159744408945
2006.0,California,6037,1214.0,0.0094698742550469,7203.0,0.0561874005429186
2006.0,California,6039,17.0,0.0071398572028559,111.0,0.0466190676186476
2006.0,California,6041,135.0,0.0452109845947756,318.0,0.1064969859343603
2006.0,California,6043,4.0,0.0254777070063694,21.0,0.1337579617834395
2006.0,California,6045,50.0,0.0529100529100529,124.0,0.1312169312169312
2006.0,California,6047,21.0,0.0047286647151542,129.0,0.0290475118216617
2006.0,California,6049,6.0,0.0526315789473684,7.0,0.0614035087719298
2006.0,California,6051,1.0,0.0061728395061728,1.0,0.0061728395061728
2006.0,California,6053,54.0,0.0087690808704124,173.0,0.0280935368626177
2006.0,California,6055,25.0,0.0149611011370436,76.0,0.0454817474566128
2006.0,California,6057,116.0,0.1372781065088757,185.0,0.2189349112426035
2006.0,California,6059,719.0,0.0175966715614292,2310.0,0.0565345080763583
2006.0,California,6061,160.0,0.0326397388820889,397.0,0.0809873521011831
2006.0,California,6063,11.0,0.0569948186528497,31.0,0.160621761658031
2006.0,California,6065,298.0,0.0094456242670132,868.0,0.0275127579321056
2006.0,California,6067,382.0,0.0201988155668358,1414.0,0.0747673434856176
2006.0,California,6069,6.0,0.0065861690450054,27.0,0.0296377607025246
2006.0,California,6071,373.0,0.011920360487041,919.0,0.0293694672589562
2006.0,California,6073,848.0,0.0217062994343051,1820.0,0.046586633219853
